"Scientific_Name","Beak.Width","Beak.Depth","Habitat","Trophic.Level"
"Nisaetus bartelsi",14,21.3,"Forest","Carnivore"
"Nisaetus cirrhatus",12.6,21.7,"Forest","Carnivore"
"Nisaetus floris",12.8,21.6,"Forest","Carnivore"
"Nisaetus lanceolatus",12.8,21.6,"Forest","Carnivore"
"Nisaetus nanus",11.3,17.3,"Forest","Carnivore"
"Nisaetus nipalensis",13.1,23.5,"Forest","Carnivore"
"Nisaetus philippensis",12.3,20.6,"Forest","Carnivore"
"Pandion haliaetus",17.3,19.6,"Marine","Carnivore"
"Parabuteo unicinctus",11.4,16.6,"Shrubland","Carnivore"
"Pernis apivorus",11.7,13.7,"Forest","Carnivore"
"Pernis celebensis",11.2,14.8,"Forest","Carnivore"
"Pernis ptilorhyncus",13.1,15.4,"Woodland","Carnivore"
"Pithecophaga jefferyi",20.8,49.6,"Forest","Carnivore"
"Polemaetus bellicosus",16.8,28.7,"Grassland","Carnivore"
"Polyboroides radiatus",10,16.1,"Forest","Carnivore"
"Polyboroides typus",10.3,16.6,"Forest","Carnivore"
"Rostrhamus sociabilis",11.1,11.3,"Wetland","Carnivore"
"Sagittarius serpentarius",19,24.1,"Grassland","Carnivore"
"Sarcogyps calvus",23,33.9,"Human Modified","Scavenger"
"Spilornis cheela",14.4,20.8,"Forest","Carnivore"
"Spilornis elgini",12.8,18.4,"Forest","Carnivore"
"Spilornis holospilus",12.2,18,"Forest","Carnivore"
"Spilornis kinabaluensis",13.4,16.8,"Forest","Carnivore"
"Spilornis klossi",13.5,18.8,"Forest","Carnivore"
"Spilornis rufipectus",13.3,17.4,"Forest","Carnivore"
"Spizaetus isidori",15.9,25.8,"Forest","Carnivore"
"Spizaetus melanoleucus",12.8,20.7,"Forest","Carnivore"
"Spizaetus ornatus",12.3,20.2,"Forest","Carnivore"
"Spizaetus tyrannus",12.1,21,"Forest","Carnivore"
"Stephanoaetus coronatus",16.7,29,"Forest","Carnivore"
"Terathopius ecaudatus",16.3,25.3,"Woodland","Carnivore"
"Torgos tracheliotos",30.4,45.5,"Grassland","Scavenger"
"Trigonoceps occipitalis",23.8,33.5,"Shrubland","Scavenger"
"Urotriorchis macrourus",13.3,16.5,"Forest","Carnivore"
"Cathartes aura",14.3,17.2,"Human Modified","Scavenger"
"Cathartes burrovianus",13.1,15.4,"Grassland","Scavenger"
"Cathartes melambrotus",14.2,17.3,"Forest","Scavenger"
"Coragyps atratus",14.8,16.1,"Human Modified","Omnivore"
"Gymnogyps californianus",33.2,39,"Shrubland","Scavenger"
"Sarcoramphus papa",22.8,30.6,"Forest","Scavenger"
"Vultur gryphus",30.1,29.1,"Grassland","Scavenger"
"Aix galericulata",13.5,10.6,"Forest","Herbivore"
"Aix sponsa",15.1,11.4,"Wetland","Herbivore"
"Alopochen aegyptiaca",20.8,16.7,"Wetland","Herbivore"
"Amazonetta brasiliensis",14.9,12.8,"Wetland","Herbivore"
"Anas acuta",14.5,14.8,"Wetland","Herbivore"
"Anas americana",16,12.3,"Wetland","Herbivore"
"Anas andium",14.8,12.6,"Wetland","Omnivore"
"Anas aucklandica",13.7,12.5,"Wetland","Carnivore"
"Anas bahamensis",15,12.8,"Wetland","Omnivore"
"Anas bernieri",13.2,11.1,"Wetland","Herbivore"
"Anas capensis",14.8,13.4,"Wetland","Omnivore"
"Anas castanea",15,12.4,"Wetland","Omnivore"
"Anas chlorotis",18.2,14.2,"Wetland","Herbivore"
"Anas clypeata",18.6,18.7,"Wetland","Omnivore"
"Anas crecca",11.8,11.4,"Wetland","Herbivore"
"Anas cyanoptera",16,13.9,"Wetland","Herbivore"
"Anas discors",15.6,12.6,"Wetland","Omnivore"
"Anas eatoni",10.3,11.9,"Wetland","Omnivore"
"Anas erythrorhyncha",15.9,13.9,"Wetland","Herbivore"
"Anas falcata",16.2,13,"Wetland","Herbivore"
"Anas flavirostris",13.3,11.7,"Wetland","Omnivore"
"Anas formosa",14.7,13,"Wetland","Herbivore"
"Anas fulvigula",21.9,15.9,"Wetland","Herbivore"
"Anas georgica",13,13.1,"Wetland","Herbivore"
"Anas gibberifrons",14.2,11.8,"Wetland","Omnivore"
"Anas gracilis",15.3,12,"Wetland","Omnivore"
"Anas hottentota",12.7,11.1,"Wetland","Herbivore"
"Anas laysanensis",13.6,11,"Wetland","Carnivore"
"Anas luzonica",20.1,14.3,"Wetland","Omnivore"
"Anas melleri",23.3,15.4,"Wetland","Herbivore"
"Anas nesiotis",11.9,11.2,"Wetland","Carnivore"
"Anas penelope",15.5,12.4,"Wetland","Herbivore"
"Anas platalea",19.4,16.9,"Wetland","Herbivore"
"Anas platyrhynchos",20.8,17.8,"Wetland","Herbivore"
"Anas poecilorhyncha",21,15.7,"Wetland","Herbivore"
"Anas puna",15.8,16,"Wetland","Herbivore"
"Anas querquedula",13.8,12.5,"Wetland","Omnivore"
"Anas rhynchotis",19.4,17.4,"Wetland","Carnivore"
"Anas rubripes",20.4,17,"Wetland","Omnivore"
"Anas sibilatrix",15.2,12.2,"Wetland","Herbivore"
"Anas smithii",18.9,16.5,"Wetland","Carnivore"
"Anas sparsa",20.1,13.8,"Wetland","Omnivore"
"Anas strepera",16.5,13.7,"Wetland","Herbivore"
"Anas superciliosa",20,15.8,"Wetland","Herbivore"
"Anas undulata",18.7,13.9,"Wetland","Herbivore"
"Anas versicolor",15.4,14.3,"Wetland","Herbivore"
"Anas wyvilliana",15.8,13.6,"Riverine","Omnivore"
"Anser albifrons",18.4,17.5,"Grassland","Herbivore"
"Anser anser",22.5,21.6,"Wetland","Herbivore"
"Anser brachyrhynchus",18.7,15.2,"Grassland","Herbivore"
"Anser cygnoides",24.2,19.9,"Wetland","Herbivore"
"Anser erythropus",15.5,13.7,"Grassland","Herbivore"
"Anser fabalis",22.1,22.9,"Wetland","Herbivore"
"Anser indicus",19.8,14,"Wetland","Herbivore"
"Aythya affinis",19.6,13.4,"Wetland","Omnivore"
"Aythya americana",18.8,14.6,"Wetland","Herbivore"
"Aythya australis",20.3,15.5,"Wetland","Carnivore"
"Aythya baeri",20.8,14.1,"Wetland","Omnivore"
"Aythya collaris",18.9,13.6,"Wetland","Omnivore"
"Aythya ferina",17.9,13.7,"Wetland","Herbivore"
"Aythya fuligula",19.5,13.2,"Wetland","Omnivore"
"Aythya innotata",20.1,12.4,"Wetland","Omnivore"
"Aythya marila",22.9,14.3,"Wetland","Omnivore"
"Aythya novaeseelandiae",18.9,13,"Wetland","Omnivore"
"Aythya nyroca",18.4,12.5,"Wetland","Herbivore"
"Aythya valisineria",18.8,13.4,"Wetland","Herbivore"
"Biziura lobata",28.2,18.1,"Wetland","Carnivore"
"Branta bernicla",14.8,13.5,"Grassland","Herbivore"
"Branta canadensis",19.9,15.3,"Grassland","Herbivore"
"Branta hutchinsii",17.1,12.3,"Grassland","Herbivore"
"Branta leucopsis",16.1,11.7,"Grassland","Herbivore"
"Branta ruficollis",14.1,10.8,"Grassland","Herbivore"
"Branta sandvicensis",16.8,13.5,"Shrubland","Herbivore"
"Bucephala albeola",12.9,9.9,"Wetland","Carnivore"
"Bucephala clangula",16.1,11.9,"Wetland","Carnivore"
"Bucephala islandica",16.6,12.7,"Wetland","Carnivore"
"Cairina moschata",22.6,15.7,"Wetland","Omnivore"
"Cairina scutulata",22.9,18.5,"Wetland","Omnivore"
"Callonetta leucophrys",13.1,11.6,"Wetland","Herbivore"
"Cereopsis novaehollandiae",20.6,22.8,"Shrubland","Herbivore"
"Chen caerulescens",19.4,24.7,"Grassland","Herbivore"
"Chen canagica",20,17.5,"Coastal","Herbivore"
"Chen rossii",13.8,15.7,"Wetland","Herbivore"
"Chenonetta jubata",13.6,9.7,"Wetland","Herbivore"
"Chloephaga hybrida",16.6,13.5,"Marine","Herbivore"
"Chloephaga melanoptera",17.6,14.5,"Wetland","Herbivore"
"Chloephaga picta",18,14.7,"Grassland","Herbivore"
"Chloephaga poliocephala",14.1,12,"Grassland","Herbivore"
"Chloephaga rubidiceps",13,11.2,"Grassland","Herbivore"
"Clangula hyemalis",16,11.9,"Wetland","Carnivore"
"Coscoroba coscoroba",27.1,19.2,"Wetland","Omnivore"
"Cyanochen cyanoptera",16.4,13.3,"Grassland","Herbivore"
"Cygnus atratus",24.4,20.8,"Wetland","Herbivore"
"Cygnus buccinator",33.6,27.7,"Wetland","Herbivore"
"Cygnus columbianus",30.4,20,"Wetland","Herbivore"
"Cygnus cygnus",29.7,21.7,"Wetland","Herbivore"
"Cygnus melancoryphus",23.6,17.6,"Wetland","Herbivore"
"Cygnus olor",31,26.4,"Wetland","Herbivore"
"Dendrocygna arborea",19.6,17.2,"Forest","Herbivore"
"Dendrocygna arcuata",15.4,14.1,"Wetland","Herbivore"
"Dendrocygna autumnalis",18.3,16.1,"Wetland","Herbivore"
"Dendrocygna bicolor",17.6,15.4,"Wetland","Herbivore"
"Dendrocygna eytoni",16.4,15.2,"Grassland","Herbivore"
"Dendrocygna guttata",16.8,14.1,"Wetland","Omnivore"
"Dendrocygna javanica",15.7,13.1,"Wetland","Herbivore"
"Dendrocygna viduata",15.7,14.1,"Wetland","Herbivore"
"Heteronetta atricapilla",15.7,13.1,"Wetland","Herbivore"
"Histrionicus histrionicus",12.7,10.5,"Marine","Carnivore"
"Hymenolaimus malacorhynchos",16.1,14.7,"Riverine","Carnivore"
"Lophodytes cucullatus",8.3,9.3,"Wetland","Carnivore"
"Lophonetta specularioides",18.4,15.3,"Wetland","Carnivore"
"Malacorhynchus membranaceus",15.3,17.2,"Wetland","Omnivore"
"Marmaronetta angustirostris",14.8,13.1,"Wetland","Herbivore"
"Melanitta fusca",26.7,14.8,"Wetland","Carnivore"
"Melanitta nigra",21.6,12.4,"Wetland","Carnivore"
"Melanitta perspicillata",21.6,15.9,"Wetland","Carnivore"
"Merganetta armata",9.8,9.8,"Riverine","Carnivore"
"Mergellus albellus",8.3,9.5,"Wetland","Carnivore"
"Mergus merganser",10.4,11.7,"Riverine","Carnivore"
"Mergus octosetaceus",7.9,10.4,"Riverine","Carnivore"
"Mergus serrator",8.2,10.6,"Wetland","Carnivore"
"Mergus squamatus",8.2,9.8,"Wetland","Carnivore"
"Neochen jubata",17.4,14.7,"Riverine","Herbivore"
"Netta erythrophthalma",19.5,13.5,"Wetland","Herbivore"
"Netta peposaca",21.5,14.3,"Wetland","Herbivore"
"Netta rufina",21.1,14.9,"Wetland","Herbivore"
"Nettapus auritus",10.8,12.4,"Wetland","Omnivore"
"Nettapus coromandelianus",11.1,10.2,"Wetland","Herbivore"
"Nettapus pulchellus",11.4,11.3,"Wetland","Herbivore"
"Nomonyx dominicus",16.2,11.2,"Wetland","Herbivore"
"Oxyura australis",19.4,12.1,"Wetland","Omnivore"
"Oxyura jamaicensis",21,11.7,"Wetland","Omnivore"
"Oxyura leucocephala",19.9,13.3,"Wetland","Omnivore"
"Oxyura maccoa",21.6,11.6,"Wetland","Omnivore"
"Oxyura vittata",18.6,11.2,"Wetland","Omnivore"
"Plectropterus gambensis",30.5,25.3,"Wetland","Herbivore"
"Polysticta stelleri",14.4,14.5,"Marine","Carnivore"
"Pteronetta hartlaubii",19.8,15.4,"Wetland","Carnivore"
"Salvadorina waigiuensis",16.2,12.2,"Riverine","Carnivore"
"Sarkidiornis melanotos",22,18.2,"Wetland","Herbivore"
"Somateria fischeri",18.7,14.5,"Coastal","Carnivore"
"Somateria mollissima",19.1,16.9,"Marine","Carnivore"
"Somateria spectabilis",17.5,14.1,"Marine","Carnivore"
"Speculanas specularis",19.3,15.9,"Riverine","Herbivore"
"Stictonetta naevosa",16.2,16.8,"Wetland","Herbivore"
"Tachyeres brachypterus",27.8,23,"Marine","Carnivore"
"Tachyeres leucocephalus",27.4,22.5,"Coastal","Carnivore"
"Tachyeres patachonicus",25,20.3,"Marine","Carnivore"
"Tachyeres pteneres",31.4,24.6,"Marine","Carnivore"
"Tadorna cana",19.8,13.9,"Wetland","Herbivore"
"Tadorna ferruginea",18.6,14.4,"Wetland","Omnivore"
"Tadorna radjah",20,14.8,"Coastal","Carnivore"
"Tadorna tadorna",18.4,14.9,"Coastal","Carnivore"
"Tadorna tadornoides",19,15.8,"Wetland","Omnivore"
"Tadorna variegata",19.1,14.6,"Grassland","Herbivore"
"Thalassornis leuconotus",19.4,12.5,"Wetland","Herbivore"
"Anhima cornuta",11.6,13.9,"Wetland","Herbivore"
"Chauna chavaria",13.3,15.9,"Wetland","Herbivore"
"Chauna torquata",13.6,15.3,"Wetland","Herbivore"
"Anseranas semipalmata",22.8,20.4,"Wetland","Herbivore"
"Aegotheles albertisi",3.2,4,"Forest","Carnivore"
"Aegotheles archboldi",3.5,2.6,"Forest","Carnivore"
"Aegotheles bennettii",4.8,4,"Forest","Carnivore"
"Aegotheles crinifrons",8.4,6,"Forest","Carnivore"
"Aegotheles cristatus",4,3.7,"Woodland","Carnivore"
"Aegotheles insignis",3.9,4,"Forest","Carnivore"
"Aegotheles savesi",7.1,5,"Forest","Carnivore"
"Aegotheles tatei",7.5,5,"Forest","Carnivore"
"Aegotheles wallacii",3.8,3.9,"Forest","Carnivore"
"Aeronautes andecolus",2.4,2.1,"Shrubland","Carnivore"
"Aeronautes montivagus",2.4,2.6,"Forest","Carnivore"
"Aeronautes saxatalis",2.9,2.5,"Rock","Carnivore"
"Apus acuticauda",3.1,3,"Forest","Carnivore"
"Apus affinis",5.6,2.8,"Human Modified","Carnivore"
"Apus alexandri",2.9,2,"Rock","Carnivore"
"Apus apus",4,2.8,"Human Modified","Carnivore"
"Apus balstoni",3.5,2.6,"Rock","Carnivore"
"Apus barbatus",3.1,2.5,"Rock","Carnivore"
"Apus batesi",3.1,1.9,"Forest","Carnivore"
"Apus berliozi",3.8,2.7,"Rock","Carnivore"
"Apus bradfieldi",3.9,2.6,"Desert","Carnivore"
"Apus caffer",2.9,2,"Shrubland","Carnivore"
"Apus horus",3,2.2,"Shrubland","Carnivore"
"Apus niansae",2.8,2.5,"Rock","Carnivore"
"Apus nipalensis",3.2,2.1,"Human Modified","Carnivore"
"Apus pacificus",4,2.8,"Woodland","Carnivore"
"Apus pallidus",3.8,2.3,"Rock","Carnivore"
"Apus sladeniae",3.5,3,"Rock","Carnivore"
"Apus toulsoni",3.2,2.3,"Shrubland","Carnivore"
"Apus unicolor",2.8,2.1,"Rock","Carnivore"
"Chaetura brachyura",2.6,2.1,"Human Modified","Carnivore"
"Chaetura chapmani",3.3,2.4,"Forest","Carnivore"
